,title,date,desc,content,keywords
0,"Sorry, Mouthwash Isn't a Coronavirus Cure",2020-10-21T19:45:00Z,"Mouthwash is designed to kill germs in your mouth. It is, I’d have to say, pretty good at its job. And yet: we do not seriously trust mouthwash to prevent the transmission of common colds, strep infections, or any other mouth-germ-y illness. We shouldn’t get …","Mouthwash is designed to kill germs in your mouth. It is, Id have to say, pretty good at its job. And yet: we do not seriously trust mouthwash to prevent the transmission of common colds, strep infec… [+4209 chars]","['#Mouthwash', '#designed', '#kill', '#germs', '#mouth']"
1,Check an Airline's Coronavirus Policies Before Booking,2020-10-21T16:00:00Z,"Navigating air travel during the COVID-19 pandemic has been tricky. First and foremost, you want to make sure that you’re as safe as possible. On top of that, there are fewer routes and flights available, travel restrictions, and other guidelines that seem to…","Navigating air travel during the COVID-19 pandemic has been tricky. First and foremost, you want to make sure that youre as safe as possible. On top of that, there are fewer routes and flights availa… [+3231 chars]","['#Navigating', '#air', '#travel', '#pandemic', '#want']"
2,"Twitter flags, limits sharing on Trump tweet about being “immune” to coronavirus",2020-10-11T19:11:34Z,"Twitter disabled sharing options on a tweet from President Trump on Sunday, and labeled it for violating its rules against spreading coronavirus misinformation. The president’s assertion he is “immune” conflicts with the CDC’s guidance on coronavirus reinfect…","The tweet violated the platforms rules against sharing coronavirus misinformation
Illustration by Alex Castro / The Verge
Twitter disabled some sharing options on a tweet from President Trump on Su… [+2699 chars]","['#tweet', '#sharing', '#violated', '#platforms', '#rules']"
3,Coronavirus and Home Design,2020-10-22T13:00:08Z,A recent survey of architects reveals that clients are looking for ways to improve the time they spend at home.,"The coronavirus pandemic is already shaping home design trends, with special-function rooms and products that serve needs particular to the pandemic rising in popularity, according to a recent survey… [+992 chars]","['#pandemic', '#coronavirus', '#shaping', '#home', '#design']"
4,Coronavirus Briefing: What Happened Today,2020-10-12T22:12:24Z,What the near future may hold,Many leaders most notably President Trump have described the arrival of a coronavirus vaccine as an off switch that will instantly normalize our lives. But experts are warning of a perplexing and fru… [+1562 chars],"['#leaders', '#President', '#Trump', '#described', '#arrival']"
5,Coronavirus Briefing: What Happened Today,2020-10-14T22:53:33Z,Startling fall surges in the United States and Europe could set the stage for wintertime peaks.,"In Europe, where a second wave is engulfing countries, the situation is even more troubling. The continent had been held up against the U.S. as an example of effective virus control, but now Spain, F… [+1215 chars]","['#Europe', '#wave', '#engulfing', '#countries', '#situation']"
6,Coronavirus Briefing: What Happened Today,2020-10-13T21:37:51Z,Congress tried to shield Covid-19 patients from unexpected medical charges. So why are people still receiving huge bills?,"Apoorva Mandavilli, who covers science and global health for The Times, told us that these antibodies distilled from the blood of patients who have recovered from the coronavirus were most likely to … [+1379 chars]","['#Apoorva', '#Mandavilli', '#covers', '#science', '#health']"
7,Coronavirus in N.Y.C.: Latest Updates,2020-10-06T09:37:51Z,The governor has refused to approve the mayor's plan to shut nonessential businesses in areas that are virus hot spots.,"Since the season ended in October last year, Coney Islands amusement parks have remained closed even as similar venues in the region have reopened. More than a thousand seasonal and full time workers… [+1337 chars]","['#season', '#ended', '#October', '#year', '#Coney']"
8,Coronavirus Briefing: What Happened Today,2020-10-07T22:48:34Z,The virus is now devastating the U.S. Midwest and Great Plains.,The 66-year-old Catholic priest was one of the first to invite students to return to campus and argued in a Times Op-Ed in May that the college had a moral obligation to educate students and not be c… [+1696 chars],"['#students', '#priest', '#invite', '#return', '#campus']"
9,Coronavirus Briefing: What Happened Today,2020-10-08T23:40:04Z,The coronavirus treatment President Trump praised as his “cure” was created using a cell line derived from an aborted fetus.,"In New York City, the largest resurgence of the virus since it was the epicenter of the pandemic in the spring has sparked fears that the second wave has already begun. The number of new cases recent… [+3438 chars]","['#New', '#York', '#City', '#resurgence', '#virus']"
10,Trump Hospitalized With Coronavirus,2020-10-03T00:42:02Z,"The president was flown to Walter Reed National Military Medical Center, where officials said he would stay for several days. Aides said Mr. Trump was experiencing coughing, congestion and fever, symptoms that worsened through the day.","The first lady, Melania Trump, and the presidents close adviser Hope Hicks were also infected, as was Ronna McDaniel, the Republican National Committee chairwoman, who was last with Mr. Trump a week … [+2595 chars]","['#Trump', '#lady', '#Melania', '#presidents', '#close']"
11,"Trump Tests Positive, Schools Navigate Reopening, and More Coronavirus News",2020-10-02T20:01:00Z,Catch up on the most important updates from this week.,"President Trump tests positive, new developments in contact tracing and testing, and Americas largest school districts navigate reopening. Heres what you should know: 
Want to receive this weekly ro… [+3928 chars]","['#President', '#Trump', '#tests', '#developments', '#contact']"
12,Coronavirus Briefing: What Happened Today,2020-10-06T21:58:53Z,Infections have emptied the White House and sent top military officials into quarantine.,The outbreaks at the White House and Capitol Hill underscore how difficult it is for Washington to get the virus under control when it has almost no control over the federal government and when senio… [+2062 chars],"['#control', '#outbreaks', '#White', '#House', '#Capitol']"
13,Coronavirus Briefing: What Happened Today,2020-10-19T22:02:04Z,Precaution exhaustion could create dire conditions in the fall.,"The Canyons School District, in an affluent suburb of Salt Lake City, has been deeply divided about the virus. Some parents urged the district to trust public health experts, who warned that the area… [+1539 chars]","['#Canyons', '#School', '#District', '#suburb', '#Salt']"
14,Coronavirus Briefing: What Happened Today,2020-10-21T22:16:08Z,Alaska is emerging as a possible test case for what winter may be like in the U.S.,"And yet, reporting by our colleagues Sheila Kaplan, Sharon LaFraniere, Noah Weiland and Maggie Haberman may offer jittery Americans some solace. They uncovered a few victories for the agency in stand… [+3110 chars]","['#reporting', '#colleagues', '#Sheila', '#Kaplan', '#Sharon']"
15,Coronavirus Briefing: What Happened Today,2020-10-23T21:26:05Z,Hospitals across the U.S. and Europe are reaching capacity at a rapid pace.,"Once Americans begin taking vaccines for the coronavirus, government researchers will face a monumental task: monitoring the health of millions of Americans to look for potential problems and side ef… [+2562 chars]","['#Americans', '#begin', '#taking', '#vaccines', '#coronavirus']"
16,Coronavirus Briefing: What Happened Today,2020-10-15T23:43:25Z,"The White House is embracing a dubious route to “herd immunity,” a strategy rejected by most health experts.","Like way, way down.
Across American colleges and universities, freshman enrollment has dropped more than 16 percent from last year, the National Student Clearinghouse Research Center reported today.… [+1262 chars]","['#way', '#colleges', '#universities', '#freshman', '#enrollment']"
17,Coronavirus Briefing: What Happened Today,2020-09-29T22:07:23Z,"How close is herd immunity? Despite optimistic claims, up to 90 percent of the U.S. population is still vulnerable.","After months of persistently driving down its virus numbers, New York City is witnessing a jump in virus cases a troubling sign as the city takes some major steps toward resuming public life.
The ci… [+1547 chars]","['#virus', '#months', '#driving', '#numbers', '#New']"
